Species Name,Latitude,Longitude,Day,Month,Year,Local Time,Location Name,Loc Reliability,Sp Code,ID Reliability,Min. Number of Animals,Max. Number of Animals,Animal Condition,Platform,Type of Sighting,Type of Gear,Target Species,Strand or Entrapment Outcome,Depth (m),Distance From Obs (m),Discard Wt (kg)
Leatherback Turtle,44.3417,-53.8136,6,8,2024,,SouthCoast,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,100,,
Leatherback Turtle,47.1648,-56.6904,7,8,2024,,SouthCoast,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,200,,
Leatherback Turtle,47.2454,-56.9943,7,8,2024,,SouthCoast,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,200,,
Leatherback Turtle,36.93,-75.74,7,8,2024,,,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,38.61,-72.71,10,8,2024,,,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,42.5983,-64.2194,11,8,2024,12:41,Scotian Shelf,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,43.5991,-63.964,11,8,2024,17:24,Scotian Shelf,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,47.019,-51.0803,11,8,2024,,NECoast,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,100,,
Leatherback Turtle,42.26,-69.39,11,8,2024,,,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,42.6121,-64.4947,12,8,2024,14:00,Scotian Shelf,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,43.3153,-64.5278,12,8,2024,12:59,Scotian Shelf,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,43.6068,-62.3901,12,8,2024,12:55,Scotian Shelf,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,43.667,-64.8172,12,8,2024,12:44,Scotian Shelf,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,44.0154,-63.768,12,8,2024,8:41,Scotian Shelf,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,44.1476,-63.3462,12,8,2024,10:50,Scotian Shelf,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,44.3271,-62.9443,12,8,2024,12:26,Scotian Shelf,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,43.1357,-62.2975,13,8,2024,8:49,Scotian Shelf,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,44.1661,-63.0994,13,8,2024,9:33,Scotian Shelf,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
Leatherback Turtle,44.2548,-62.6215,13,8,2024,11:23,Scotian Shelf,1,9701,1,1,1,Alive,Twin Otter,Free Swimming,,,,,,
